Nom du commerce;Adresse;Code postal;Type de commerce;Services;Description;Précisions;Site internet;Téléphone;Mail;geo_shape;geo_point_2d
Helmut Newcake;28 rue Vignon;75009;Boulangerie - pâtisserie;Livraisons à domicile;Boulangerie - pâtisserie;;https://www.epicery.com/epiceries/helmut-newcake;+33 6 22 40 39 36;anais.aubert@yahoo.fr;"{""type"": ""Point"", ""coordinates"": [2.326523336687228, 48.87187388395141]}";48.871873884,2.32652333669
Rôtisserie Chez Plume;6 rue des Martyrs;75009;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Poulet rôti;;https://www.epicery.com/epiceries/chez-plume;+33 6 14 25 12 12;a.girault@thinkeat.fr;"{""type"": ""Point"", ""coordinates"": [2.339389573844813, 48.877032608968314]}";48.877032609,2.33938957384
Graine d'artiste;85 Bis Boulevard de Magenta;75010;Boulangerie - pâtisserie;Livraisons à domicile;Boulangerie - pâtisserie, Pâtisseries;;https://www.epicery.com/epiceries/graine-dartiste;+33 7 81 52 59 86;nehli.amina75@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.355219870575834, 48.87697626650494]}";48.8769762665,2.35521987058
L'univers du Fromage;16 rue Chanzy;75011;Fromagerie;Livraisons à domicile;Brunch;;https://www.epicery.com/epiceries/l-univers-du-fromage;+33 6 84 38 48 59;stephane.premat@luniversdufromage.fr;"{""type"": ""Point"", ""coordinates"": [2.383806707709819, 48.852498588471704]}";48.8524985885,2.38380670771
Primeur de la Roquette;115 rue de la roquette;75011;Primeur;Livraisons à domicile;Fruits, Légumes;;https://www.epicery.com/epiceries/clementine-primeur;+33 6 30 67 36 81;walid7511@hotmail.fr;"{""type"": ""Point"", ""coordinates"": [2.381498999208352, 48.858015997273824]}";48.8580159973,2.38149899921
Harry Primeur;13 Boulevard de Reuilly;75012;Primeur;Livraisons à domicile;Bio;;https://www.epicery.com/epiceries/harry-primeur;+33 6 58 33 96 06;zhux3868@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.390947079727193, 48.83932869222202]}";48.8393286922,2.39094707973
Le Primeur de Tolbiac;187 Rue de Tolbiac;75013;Primeur;Livraisons à domicile;Fruits;;https://www.epicery.com/epiceries/primeur-de-tolbiac;01 73 70 95 22;oucinsoltan@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.351789429175085, 48.825790861028715]}";48.825790861,2.35178942918
Fromagerie Caractères;17 rue le Marois;75016;Fromagerie;Livraisons à domicile;Charcuterie, Fromage;;https://www.epicery.com/epiceries/caracteres;+33 6 08 56 34 97;eric@cheese-connection.com,arnaud@fromeurope.fr;"{""type"": ""Point"", ""coordinates"": [2.261720052659959, 48.838944843045276]}";48.838944843,2.26172005266
Boucherie Meissonier;8 rue Meissonier;75017;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/boucherie-meissonier;+33 6 33 85 89 70;v.langlais@icloud.com;"{""type"": ""Point"", ""coordinates"": [2.304575932137456, 48.883389796728544]}";48.8833897967,2.30457593214
Kevin Lacote Pâtisserie;78 avenue de Villiers;75017;Boulangerie - pâtisserie;Livraisons à domicile;Pâtisseries;;https://www.epicery.com/epiceries/kl-patisserie;+33 7 77 28 28 35;klpatisserie.communication@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.303718990920856, 48.88419051395475]}";48.884190514,2.30371899092
Le billot du coin;25 Rue de Lévis;75017;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Charcuterie, Poulet rôti;;https://www.epicery.com/epiceries/le-billot-du-coin;+33 6 26 04 60 13;romain.POLLANI@outlook.fr;"{""type"": ""Point"", ""coordinates"": [2.315257989192513, 48.882335316366074]}";48.8823353164,2.31525798919
Poissonnerie la Calypso;24 ter rue Brochant;75017;Poissonnerie;Livraisons à domicile;Poisson;;https://www.epicery.com/epiceries/poissonnerie-la-calypso;+33 6 12 34 15 14;belaid3@hotmail.com;"{""type"": ""Point"", ""coordinates"": [2.319157763316693, 48.88964651212512]}";48.8896465121,2.31915776332
Le Bio de la Butte;51 rue Caulaincourt;75018;Primeur;Livraisons à domicile;Bio, Fruits;;https://www.epicery.com/epiceries/bio-de-la-butte;+33 7 68 08 44 67;lebiodelabutte@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.334639719651831, 48.88930023835577]}";48.8893002384,2.33463971965
Primeur bio poteau;28 Rue du Poteau;75018;Primeur;Livraisons à domicile;Bio, Fruits;;https://www.epicery.com/epiceries/primeur-bio-poteau;07 53 86 31 88;mounir.beji@sfr.fr;"{""type"": ""Point"", ""coordinates"": [2.342061589653298, 48.89384192243854]}";48.8938419224,2.34206158965
Glaces Glazed St-Hilaire;19 rue Geoffroy St-Hilaire;75005;Restaurant ou traiteur;Livraisons à domicile;Fruits;;https://www.epicery.com/epiceries/copie-de-glaces-glazed-429ca058-10d2-4464-9bfb-846dba488f1c;+33 7 83 93 64 98;charlotte@glaces-glazed.com;"{""type"": ""Point"", ""coordinates"": [2.356208351316413, 48.8398656126804]}";48.8398656127,2.35620835132
Henri Le Roux Saint-Dominique;52 Rue Saint-Dominique;75007;Boulangerie - pâtisserie;Livraisons à domicile;Chocolat;;https://www.epicery.com/epiceries/henri-le-roux-st-dominique;01 82 28 49 84;mi@chocolat-leroux.fr;"{""type"": ""Point"", ""coordinates"": [2.309809413973141, 48.859970939918746]}";48.8599709399,2.30980941397
En direct de nos producteurs;248, Rue de la Convention;75015;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Epicerie;;https://www.epicery.com/epiceries/en-direct-de-nos-producteurs;01 48 28 11 47;j.puyssegur@delpeyrat.fr;"{""type"": ""Point"", ""coordinates"": [2.301665893022899, 48.83561628031448]}";48.8356162803,2.30166589302
Emsalem Cacher Market;14 avenue Corentin Cariou;75019;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Cacher;;https://www.epicery.com/epiceries/emsalem;+33 6 40 89 09 67;michel.emsalem@wanadoo.fr;"{""type"": ""Point"", ""coordinates"": [2.383174294043418, 48.89520233659492]}";48.8952023366,2.38317429404
Mamy Thérèse la Madeleinerie;19 rue Saint-Antoine;75004;Boulangerie - pâtisserie;Livraisons à domicile;Première madeleinerie artisanale de Paris. Nous vous proposons différentes catégories de madeleines fraîches du jour fabriquées sur place.;;http://www.mamytherese.com;06 40 17 73 25;contact@mamytherese.com;"{""type"": ""Point"", ""coordinates"": [2.366072212110993, 48.85347773308143]}";48.8534777331,2.36607221211
Jeff de Bruges le Marais;35 rue Saint Antoine;75004;Alimentation générale et produits de première nécessité;Livraisons à domicile;;;;01 44 78 07 51;jeffdebruges.lemarais@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.3649359730341493, 48.85374019697632]}";48.853740197,2.36493597303
La Buca;16 Boulevard Gouvion-Saint-Cyr;75017;Primeur;Livraisons à domicile;Restaurant italien pugliese;;https://labucaparis.fr/;06 14 32 34 94;labucaparis@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.289645759918543, 48.88461966645175]}";48.8846196665,2.28964575992
Les vents du large;107 boulevard de Charonne;75011;Poissonnerie;Livraisons à domicile;"Votre poissonnerie sur le marché de Charonne 
Erwan, Akiko et Justin seront ravis de vous livrer";;;07 88 81 60 24;vdlerx@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.394515074385879, 48.855943470735205]}";48.8559434707,2.39451507439
Fromages;Avenue du president wilson;75016;Fromagerie;Livraisons à domicile;Je vends aussi de la confiture artisanal de Normandie et du pâté et du saucisson d'Auvergne);;;06 37 14 97 18;caffeaunicolas@orange.fr;"{""type"": ""Point"", ""coordinates"": [2.296854833455139, 48.864835062628075]}";48.8648350626,2.29685483346
A l’arrachée;87 rue de la roquette;75011;Restaurant ou traiteur;Livraisons à domicile;Livraison de plats sous vide à terminer chez soit. Tous nos plats sont fabriqués par nos chefs à partir de produits frais;;https://alarrachee.fr;06 60 10 93 83;yannick@pass-services.com;"{""type"": ""Point"", ""coordinates"": [2.378673500464811, 48.85716759438947]}";48.8571675944,2.37867350046
Biocoop le Retour à la Terre Les Champs;89 rue la Boétie;75008;Alimentation générale et produits de première nécessité;Livraisons à domicile;Alimentation bio, traiteur, fromagerie, boulangerie, viandes, fruits et légumes frais, espace beauté - santé, alimentation animale etc.;;https://www.leretouralaterre.fr/;01 84 86 09 95;communication@leretouralaterre.fr;"{""type"": ""Point"", ""coordinates"": [2.308289205750521, 48.87171019682873]}";48.8717101968,2.30828920575
La Ferme du Périgord Noir;Place Jeanne d'Arc;75013;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Producteur de volailles en direct de notre ferme;;https://www.lafermeduperigordnoir.fr;06 95 51 77 17;julien.boche@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.368408992525402, 48.82975551984471]}";48.8297555198,2.36840899253
La Marée;258 rue du Faubourg Saint Honoré;75008;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Restaurant de Poisson;;https://www.lamaree.fr;01 43 80 20 00;contact@lamaree.fr;"{""type"": ""Point"", ""coordinates"": [2.300500005990198, 48.877357002779675]}";48.8773570028,2.30050000599
ROY chocolatier;27 rue de Longchamp;75016;Chocolaterie - Pâtisserie;Livraisons à domicile, Retrait de commandes en magasin;Chocolat artisanal depuis 1948. Macarons, glaces, miels et confitures. Très large gamme de chocolats pour diabétiques.;;https://www.roy.fr;01 47 27 34 36;contact@roy.fr;"{""type"": ""Point"", ""coordinates"": [2.290318103187628, 48.86490997963135]}";48.8649099796,2.29031810319
CHAI 33;33 cour Saint Emilion;75012;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Plats et desserts du jour faits-maison, Caviste et Epicerie Fine !;;https://www.chai33.com/commander-en-ligne/;01 53 44 01 01;cavedelphine@chai33.com;"{""type"": ""Point"", ""coordinates"": [2.386463338620675, 48.833153457707475]}";48.8331534577,2.38646333862
L’Atelier d’Aurore;4 place Etienne Pernet;75015;Fleuriste;Livraisons à domicile, Retrait de commandes en magasin;Un petit coin de nature au cœur du 15eme arrondissement. Du simple bouquet pour se faire plaisir au compositions les plus sophistiquées en passant par des plantes d’intérieur ou d’extérieur.;;https://m.facebook.com/pages/category/Florist/LAtelier-DAurore-109511887390488/;01 45 31 60 42;atelier.aurore.fleuriste@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.29255351052932, 48.84357751631794]}";48.8435775163,2.29255351053
Altermundi;24 rue du Commerce;75015;Autre;Retrait de commandes en magasin;Altermundi est une enseigne de produits éco-responsables. Découvrez nos univers : maison, mode, bien-être, enfants et de nombreuses idées cadeaux! Click&collect au 24 rue du Commerce - Paris 15ème;;https://www.altermundi.com;;contact@altermundi.com;"{""type"": ""Point"", ""coordinates"": [2.296398653799334, 48.8477347065865]}";48.8477347066,2.2963986538
ephemere;133 av parmentier;75011;Fleuriste;Livraisons à domicile, Retrait de commandes en magasin;Vente de fleurs de saison locales et françaises, plantes d’intérieur et plantes d’extérieur;;;01 43 57 86 00;ephemerefleuriste@icloud.com;"{""type"": ""Point"", ""coordinates"": [2.371147999243438, 48.869607459981474]}";48.86960746,2.37114799924
Garrigues Marie-France artiste;78 rue Spontini;75016;Autre;Livraisons à domicile;Je suis artiste peintre professionnelle .;;http:// www.mariefrancegarrigues.com;06 11 18 58 75;mifamfg@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.276061976626084, 48.866153440728674]}";48.8661534407,2.27606197663
Marché sur l'Eau;Place Stalingrad devant La Rotonde sur la terrasse côté M° Stalingrad;75019;Primeur;Retrait de commandes en magasin;Distribution de paniers de fruits et légumes locaux en circuit court. Pour adhérer et commander : https://boutique.marchesurleau.com/;;https://www.marchesurleau.com/;;adhesion@marchesurleau.com;"{""type"": ""Point"", ""coordinates"": [2.369791073714143, 48.88296038981259]}";48.8829603898,2.36979107371
LIBRAIRIE LE POINT;193 RUE DE BERCY;75012;Librairie;Retrait de commandes en magasin;"Librairie papeterie presse de 360m2 au pied de la gare de Lyon 
Plus de 18.000 titres en librairie et plus de 2.500 magazines en stock";;https://www.parislibrairies.fr/librairie-5509/paris/Le-Point/;01 43 45 48 43;librairie-lepoint@orange.fr;"{""type"": ""Point"", ""coordinates"": [2.372798368434418, 48.84387594370465]}";48.8438759437,2.37279836843
2 et 3D PRINT;156, Avenue Daumesnil;75012;Autre;Retrait de commandes en magasin;"Notre équipe met son savoir-faire au service de tous vos projets de communication visuelle.
Nous vous accompagnons à chaque étape de la chaîne graphique, de la création à la finition de vos documents.";;https://www.2et3dprint.fr;01 43 07 72 48;contact@2et3dprint.fr;"{""type"": ""Point"", ""coordinates"": [2.392593332779744, 48.84016135159985]}";48.8401613516,2.39259333278
la bâloise - anne c. wirth;6 rue Jean Baptiste Dumay;75020;Autre;Livraisons à domicile, Retrait de commandes en magasin;"Atelier-boutique de la créatrice de mode Anne C. Wirth, vêtements pour femme en séries limitées et 
Bijoux de Piyer, sacs en cuir de Mamix, Chapeaux de la Case d'Estelle, pochettes de Meg Sérigraphie";;http://www.annecwirth.com;06 11 84 77 71;christine@annecwirth.com;"{""type"": ""Point"", ""coordinates"": [2.387998639109865, 48.87411186214136]}";48.8741118621,2.38799863911
Sauvage Belleville;112 Boulevard de Belleville;75020;Restaurant ou traiteur;Retrait de commandes en magasin;Restaurant de quartier.;;http://www.instagram.com/sauvagebelleville;06 77 72 99 78;sauvagebelleville@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.378429798079732, 48.87104867583621]}";48.8710486758,2.37842979808
La Boutique du Brasseur;14 rue Caillaux;75013;Autre;Livraisons à domicile, Retrait de commandes en magasin;Notre boutique regroupe un très large choix de malts, houblons, levures ainsi que tout le materiel pour brasser à la maison.;;http://www.laboutiquedubrasseur.fr;09 82 52 10 26;contact@laboutiquedubrasseur.fr;"{""type"": ""Point"", ""coordinates"": [2.360637095499142, 48.822594029432636]}";48.8225940294,2.3606370955
ZAZIE HOTEL;3 rue Chaligny;75012;Autre;Retrait de commandes en magasin;Pour un hébergement classique une nuit ou pour une journée de télétravail tranquille en chambre avec wifi fibre et thé café à volonté. Petits-déjeuners et dinettes possibles.;;http://www.zaziehotel.paris;01 46 28 10 20;contact@zaziehotel.paris;"{""type"": ""Point"", ""coordinates"": [2.38330915052775, 48.84534803973741]}";48.8453480397,2.38330915053
Pulp's Comics;9 rue Dante;75005;Librairie;Livraisons à domicile, Retrait de commandes en magasin;La librairie spécialiste du comics! Nouveautés VF et VO, anciens numéros, TPB!;;;01 40 51 80 62;pulps.comics@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.346114172433402, 48.85094003990201]}";48.8509400399,2.34611417243
sas malone;59 rue de tolbiac;75013;Autre;Livraisons à domicile;Societé de livraisons paris et proche banlieu;;;06 41 42 72 45;sasmaloneservices@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.369772965778798, 48.827359805951666]}";48.827359806,2.36977296578
A pieds joints;41 rue des Gatines;75020;Autre;Livraisons à domicile, Retrait de commandes en magasin;Existe depuis 1997 je suis spécialiste de la chaussure et propose un large de marques comme Kickers, New Balance, Converse, Geox, Little Mary, Romagnoli, Camper, Giesswein... de la pointure 18 à 41.;;;01 43 58 29 62;hello@apiedsjoints.com;"{""type"": ""Point"", ""coordinates"": [2.399499704858661, 48.86639031308781]}";48.8663903131,2.39949970486
EL NOPAL;5 rue Duperré;75009;Restaurant ou traiteur;Retrait de commandes en magasin;Taquería Mexicaine à Pigalle;;https://www.elnopalparis.com/pigalle-taqueria;07 60 89 20 87;elnopal.paris@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.336507062206981, 48.882023723061884]}";48.8820237231,2.33650706221
COLLINE D'ASIE;21 RUE ANDRE DEL SARTE;75018;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;"Cuisine familiale avec des spécialités du Sud-Est asiatique. 
Nous proposons un service de click and collect ainsi que des livraisons via Ubereats. 
Menu visible sur la page facebook, bouton ""acheter""";;https://www.facebook.com/collinedasie;01 55 79 16 82;contact@masterkou.com;"{""type"": ""Point"", ""coordinates"": [2.345226021928195, 48.885782706202455]}";48.8857827062,2.34522602193
"ENCROS - ""Recharge, Encre et Toner""";143 Rue de Charenton;75012;Équipements informatiques;Livraisons à domicile, Retrait de commandes en magasin;"Rechargement de Cartouche jet d'encre et laser.
Vente de Cartouche et Toner 
Click and Collect 
Produits d'entretien pour imprimante";;http://www.encros.fr;01 88 32 65 47;encros@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.381878665952769, 48.845156137061444]}";48.8451561371,2.38187866595
Le Moulin à Café;8 rue Sainte Léonie;75014;Restaurant ou traiteur;Retrait de commandes en magasin;Café associatif de quartier, restauration à commander sur le site ou par téléphone, à retirer de 12h à 14h sur place;;http://www.moulin-cafe.org;01 40 44 87 55;responsable@moulin-cafe.org;"{""type"": ""Point"", ""coordinates"": [2.319823389179702, 48.83347364241772]}";48.8334736424,2.31982338918
